item_id,item_name,description,rarity,price,category_id,shop_id
1,Leather Chestplate,Made from cowhide,Common,20,1,1
2,Leather Gauntlets,Made from cowhide,Common,5,2,1
3,Leather Helmet,Made from cowhide,Common,10,3,1
4,Leather Pants,Made from cowhide,Common,15,4,1
5,Leather Boots,Made from cowhide,Common,5,5,1
6,Leather Shield,Can block some attacks,Common,15,6,2
7,Blunt Dagger,Used to be sharp,Common,10,7,2
8,Rusted Sword,Pretty old,Common,15,8,2
9,Wooden Spear,Sharp pointy stick,Common,20,9,2
10,Wooden Ring,Carved from wood,Common,5,10,3
11,String Necklace,Hand made by a child,Common,5,11,3
12,Iron Chestplate,Made from iron ore,Uncommon,100,1,4
13,Iron Gauntlets,Made from iron ore,Uncommon,25,2,4
14,Iron Helmet,Made from iron ore,Uncommon,50,3,4
15,Iron Leggings,Made from iron ore,Uncommon,75,4,4
16,Iron Boots,Made from iron ore,Uncommon,25,5,4
17,Iron Shield,Can block most attacks,Uncommon,75,6,5
18,Iron Dagger,Sharp blade made from iron,Uncommon,50,7,5
19,Iron Sword,Sharp sword made from iron,Uncommon,75,8,5
20,Iron Spear,"Heavy and solid, made from iron",Uncommon,100,9,5
21,Iron Ring,Piece of iron shaped into a ring,Uncommon,25,10,6
22,Iron Necklace,Little chains of iron,Uncommon,25,11,6
23,Steel Chestplate,Made from steel,Rare,500,1,7
24,Steel Gauntlets,Made from steel,Rare,125,2,7
25,Steel Helmet,Made from steel,Rare,250,3,7
26,Steel Leggings,Made from steel,Rare,375,4,7
27,Steel Boots,Made from steel,Rare,125,5,7
28,Steel Shield,Can block almost all attacks,Rare,375,6,8
29,Steel Dagger,Fine and sharp piece of steel,Rare,250,7,8
30,Steel Sword,Durable and sharp,Rare,375,8,8
31,Steel Spear,Heavy and sharp,Rare,500,9,8
32,Silver Ring,Keep monsters away or cosplay,Rare,125,10,9
33,Silver Necklace,Keep monsters away or cosplay,Rare,125,11,9
34,Adamantium Chestplate,Made from the strongest material,Legendary,2500,1,10
35,Adamantium Gauntlets,Made from the strongest material,Legendary,625,2,10
36,Adamantium Helmet,Made from the strongest material,Legendary,1250,3,10
37,Adamantium Leggings,Made from the strongest material,Legendary,1875,4,10
38,Adamantium Boots,Made from the strongest material,Legendary,625,5,10
39,Adamantium Shield,Can block all kinds of attacks,Legendary,1875,6,11
40,Adamantium Dagger,Beautiful and sharp,Legendary,1250,7,11
41,Adamantium Sword,Fit for a hero,Legendary,1875,8,11
42,Adamantium Spear,"Long enough for a spearman, light enough for the best",Legendary,2500,9,11
43,Diamond Ring,Woman's best friend,Legendary,625,10,12
44,Gold Necklace,Woman's second best friend,Legendary,625,11,12
